Waxhaw Candle Company,113 W South Main St, Waxhaw, NC 28173, USA,4.8,206
MONA Boutique,108 E South Main St, Waxhaw, NC 28173, USA,3.9,32
Kohl's,601 Sherman Pl, Waxhaw, NC 28173, USA,4.4,1270
Waxhaw Farmers Market,27283 Waxhaw Pkwy, Waxhaw, NC 28173, USA,4.6,125
Funki Monki,111 E North Main St, Waxhaw, NC 28173, USA,3.2,37
The Shoppes at Ardrey Kell,16615 Lancaster Hwy, Charlotte, NC 28277, USA,4.4,844
Waxhaw Tack Exchange,103 S Church St, Waxhaw, NC 28173, USA,4.7,120
Stewart's Village Gallery,116 McDonald St, Waxhaw, NC 28173, USA,4.6,56
The Vintage Room,318 NC-75, Waxhaw, NC 28173, USA,5,17
Antique Clock Shop,202 N Broome St, Waxhaw, NC 28173, USA,4.4,47
Atrium Health Primary Care Waxhaw Family Medicine,2700 Providence Rd S #300, Waxhaw, NC 28173, USA,4.6,313
Novant Health Waxhaw Family & Sports Medicine,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.3,229
Atrium Health Waxhaw,2700 Providence Rd S, Waxhaw, NC 28173, USA,3.3,273
Novant Health Child & Adolescent Medical Group - Waxhaw,3614 Providence Rd S Suite 101, Waxhaw, NC 28173, USA,4.6,57
Novant Health-GoHealth Urgent Care,1530 Providence Rd S South, Waxhaw, NC 28173, USA,4.5,243
AFC Urgent Care Waxhaw,8133 Kensington Dr Unit C, Waxhaw, NC 28173, USA,4.8,189
Pure Primary Wellness and Aesthetics of Waxhaw,716 Old Providence Rd, Waxhaw, NC 28173, USA,5,1
Paige B. Tomcho  DO,2700 Providence Rd S #300, Waxhaw, NC 28173, USA,4.8,76
Waxhaw Health & Wellness,E, 101 Waxhaw Professional Park Dr, Waxhaw, NC 28173, USA,5,13
Novant Medical Group,1480 Wesley Chapel Rd, Indian Trail, NC 28079, USA,1,1
Matthew Verrill  MD,2700 Providence Rd S #300, Waxhaw, NC 28173, USA,4.8,94
Mildred Williams  FNP,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.8,52
Resha Shrestha  MD,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.8,50
Dr. Jeffrey C. Hutchings  MD (Avance Care),1621 Providence Rd S #370, Waxhaw, NC 28173, USA,4,21
Adam Culver  MD,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.9,62
MinuteClinic at CVS,1142 N Broome St, Waxhaw, NC 28173, USA,3.7,32
Kavita Shanker-Patel  MD,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.9,82
Thao Nguyen  MD,3614 Providence Rd S #200, Waxhaw, NC 28173, USA,4.9,50
Atrium Health Musculoskeletal Institute Orthopedics & Sports Medicine,2700 Providence Rd S #225, Waxhaw, NC 28173, USA,4.6,9
Jody Holler  MD,2700 Providence Rd S #300, Waxhaw, NC 28173, USA,4.9,162
Carrington Square Dental,2917 Providence Rd S Suite A, Waxhaw, NC 28173, USA,5,1083
MillBridge Dentistry,3614 Providence Rd S #103, Waxhaw, NC 28173, USA,4.9,634
Waxhaw Dental Center,2514 Cuthbertson Rd # A, Waxhaw, NC 28173, USA,4.6,400
Expressions Family Dental,102-E Waxhaw Professional Park Dr, Waxhaw, NC 28173, USA,5,352
Cureton Cosmetic & Family Dentistry,8175-A Kensington Dr, Waxhaw, NC 28173, USA,4.9,432
Strive Dental Studio,8418 New Town Rd, Waxhaw, NC 28173, USA,4.9,555
New Town Dentistry of Waxhaw,1532 Providence Rd S #220, Waxhaw, NC 28173, USA,5,294
Hays Dentistry,1002 Aspinal St C, Waxhaw, NC 28173, USA,5,26
Dental Care at Meadow Ridge,1610 Providence Rd S Ste 102, Waxhaw, NC 28173, USA,4.9,217
Dental Designs of Marvin Gardens,1619 Providence Rd S, Waxhaw, NC 28173, USA,5,147
Dogwood Dental Spa,3808 Providence Rd S Suite 103, Waxhaw, NC 28173, USA,4.8,69
Serene Dental Spa,13700 Providence Rd #110, Weddington, NC 28104, USA,5,659
University Dental Associates Waxhaw,9815 Suzanne Ct, Waxhaw, NC 28173, USA,4.2,102
Providence Oral Surgery and Dental Implant Center,102 Waxhaw Professional Park Dr ste g, Waxhaw, NC 28173, USA,5,384
Pediatric Dentistry of Waxhaw,2917 Providence Rd S Suite D, Waxhaw, NC 28173, USA,5,307
Signature Periodontics & Implant Dentistry: Waxhaw,514 N Broome St, Waxhaw, NC 28173, USA,4.9,282
Woodside View Dental Care,3214 Providence Rd S B, Waxhaw, NC 28173, USA,5,6
LandMark Dentistry - Wesley Chapel,5922 Weddington Rd Ste A2, Wesley Chapel, NC 28104, USA,4.9,823
Flourish Family & General Dentistry Indian Land,9456 Charlotte Hwy #202, Indian Land, SC 29707, USA,5,366
Reafield Dental,9925 Rea Rd Ste 104, Waxhaw, NC 28173, USA,4.9,61
