Name,Address,City,State,Zip,Phone,Website,Rating,Reviews,PlaceID,Lat,Lng
Waxhaw Dog Spa,116 E South Main St A,Waxhaw,NC,28173,(704) 517-7041,,,13,ChIJ7-0t-cUrVIgRhSdCo8zbevg,34.9246973,-80.7429646
The ShowRoom,6714 Rehobeth Rd,Waxhaw,NC,28173,(980) 398-8632,,,62,ChIJ_5NaYDArVIgRsCd1r44oLNo,34.8883387,-80.7769845
Sip & Cinder,1325 N Broome St,Waxhaw,NC,28173,(704) 256-1254,https://www.theflipsiderestaurant.com/,,106,ChIJS7rSVfYrVIgR0074ANqizNI,34.9349736,-80.7501476
Mavis Tires & Brakes,27299 Waxhaw Pkwy,Waxhaw,NC,28173,(980) 837-7079,https://www.mavis.com/locations/waxhaw-27299-waxhaw-pkwy-nc?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=920,,2241,ChIJdzr4FcArVIgRyDdpk7pyzaU,34.9331644,-80.7472718
The Indigo Pearl,101 E North Main St,Waxhaw,NC,28173,(704) 221-3769,http://www.theindigopearl.com/,,29,ChIJUaB_fZUrVIgRAQsPrbX4u3g,34.9252399,-80.7436038
New Town Dentistry of Waxhaw,1532 Providence Rd S #220,Waxhaw,NC,28173,(704) 373-6040,http://www.newtowndds.com/,,294,ChIJoZnyia4pVIgR30lHgL6fkso,34.989034,-80.774716
Summerfield and Son Automotive,4407 Helms Rd Unit C,Waxhaw,NC,28173,(704) 256-1700,http://summerfieldandson.com/,,22,ChIJ_7w9S4wrVIgRSjPOdhI7WHk,34.9243029,-80.7624396
Waxhaw Tack Exchange,103 S Church St,Waxhaw,NC,28173,(704) 843-0474,http://www.waxhawtackexchange.com/,,120,ChIJkRyxL74rVIgRDJ1uHGYSR6g,34.9242179,-80.74426679999999
Fifth Third Bank & ATM,11206 Providence Rd W,Charlotte,NC,28277,(704) 443-5662,https://locations.53.com/nc/charlotte/11206-providence-road-west.html,,19,ChIJi-BSLBCDVogRbdan_Qf-U7o,35.0431814,-80.8478392
Providence Oral Surgery and Dental Implant Center,102 Waxhaw Professional Park Dr ste g,Waxhaw,NC,28173,(704) 289-8819,http://www.providenceoralsurgery.com/,,384,ChIJ3_UeHPkrVIgRaONE1qeszSA,34.9374953,-80.74969639999999
Fuzzy Bubbles Dog Salon & Spa,1526 Providence Rd S #110,Waxhaw,NC,28173,(704) 256-7576,https://fuzzybubbles.myonlineappointment.com/,,6,ChIJnZqfawApVIgR-uQFLA_0UMU,34.9895911,-80.7742143
Mane Street Horse and Pet,7915 Lancaster Hwy,Waxhaw,NC,28173,(704) 243-3011,https://manestreethorseandpet.com/,,148,ChIJE5ZQP9csVIgRLkxjJc8YwXM,34.8667008,-80.6817155
Dana's Pampered Pets,4021 Weddington Rd,Monroe,NC,28110,(704) 771-4852,https://www.facebook.com/danaspamperedpets/,,86,ChIJD9146SswVIgRIppZiu2uh3g,34.9888727,-80.63014539999999
Pediatric Dentistry of Waxhaw,2917 Providence Rd S Suite D,Waxhaw,NC,28173,(704) 496-9246,https://pediatricdentistryhome.com/waxhaw/home/,,307,ChIJX3Bwdz0vVIgRNhOZu9hVols,34.96157780000001,-80.7593303
Wayback Burgers,1002 Aspinal St A,Waxhaw,NC,28173,(704) 256-1728,https://waybackburgers.com/locations/us/north-carolina/waxhaw/?y_source=1_MTA1NzA4NjQ3OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,265,ChIJxQhRLVQrVIgRU7_oqgN0ebY,34.9503813,-80.75746409999999
Expressions Family Dental,102-E Waxhaw Professional Park Dr,Waxhaw,NC,28173,(704) 256-3548,http://www.expressionsfamilydental.com/,,352,ChIJ0-V1-yUrVIgR6tlPwULa4Sk,34.9373664,-80.74971000000001
Road Crew By Middle James Brewing,115 E North Main St,Waxhaw,NC,28173,,,,1,ChIJ9Q8uDMErVIgRPaLq-GxnA6A,34.9254052,-80.7430512
Straight Automotive LLC,5814 Stone Bridge Ln,Waxhaw,NC,28173,(704) 843-9413,http://straight-llc-waxhaw.keeq.io/,,40,ChIJ1UdbND8rVIgRjDnQHeYoYgE,34.8785669,-80.7447158
TD Bank,8179 Charlotte Hwy,Indian,SC,29707,(803) 547-4760,https://locations.td.com/us/8179-charlotte-hwy-indian-land?y_source=1_OTI5MjYxMDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,17,ChIJvwy52O-BVogRYx9y5x49kO4,34.9503019,-80.84842979999999
Cureton Town Center,8157 Kensington Dr,Waxhaw,NC,28173,(929) 388-7922,https://www.phillipsedison.com/property/north-carolina/charlotte-nc/waxhaw/cureton-town-center,,685,ChIJVVIJQHwpVIgRzFgPnX1KvKE,34.9544137,-80.75870809999999
Dogwood Dental Spa,3808 Providence Rd S Suite 103,Waxhaw,NC,28173,(704) 256-7027,https://dogwooddentalspa.com/,,69,ChIJR9u_m6orVIgRiLg6COqwHg4,34.9403947,-80.7525406
Waxhaw Animal Hospital,601 N Church St,Waxhaw,NC,28173,(704) 843-2269,http://www.waxhawanimalhospital.com/,,256,ChIJk8AVZSoxVIgRmNtyGqDeHpg,34.929642,-80.74591199999999
Strive Dental Studio,8418 New Town Rd,Waxhaw,NC,28173,(704) 842-3747,https://strivedentalstudio.com/,,555,ChIJXWGyE64pVIgRSgPg4-hDme8,34.988964,-80.77580259999999
STUDIO 5038,5038 Waxhaw Indian Trail Rd,Matthews,NC,28104,(704) 821-4238,http://studio5038.com/,,29,ChIJWwSZ52ovVIgRaBkNP99ykuY,35.0132178,-80.69742629999999
Mouton Blanc Farms,Howie Mine Church Rd,Waxhaw,NC,28173,(704) 458-4262,https://www.moutonblancfarms.com/,,1,ChIJOw-0L2AvVIgRRdzEFI71KFo,34.9568942,-80.7172125
Truist - ATM,8109 Kensington Dr,Waxhaw,NC,28173,(704) 243-6033,https://www.truist.com/atm/nc/waxhaw/28173/8109-kensington-dr,,1,ChIJ3c_0hHspVIgRj5Jqg9Er8OI,34.9543694,-80.75676179999999
Advance Auto Parts,1307 N Broome St,Waxhaw,NC,28173,(704) 843-3332,https://stores.advanceautoparts.com/nc/waxhaw/1307-n-broome-st?utm_medium=local&utm_source=yext-gmb&utm_content=gmb-2016-12-29&utm_campaign=aap,,117,ChIJ7wZmX8ErVIgRUtX-ui_AmLM,34.93458760000001,-80.75136669999999
The Little Gym of Waxhaw,1000 Aspinal St,Waxhaw,NC,28173,(704) 256-0231,https://www.thelittlegym.com/north-carolina-waxhaw/,,44,ChIJt9QvzRMrVIgRzIyvv8R9euI,34.950223,-80.75741800000002
Emmets Social Table,401 E South Main St,Waxhaw,NC,28173,(704) 233-7813,http://emmetsnc.com/,,1201,ChIJ14Q3VZQrVIgR2s0dYg__m-E,34.9247525,-80.74041230000002
ISI Elite Training Waxhaw  NC,1621 Providence Rd S Suite 330-340,Waxhaw,NC,28173,(704) 774-2128,https://www.isielitetraining.com/isi-location/waxhaw/,,36,ChIJI_6isa8pVIgRMyOPPi7rXBk,34.9871561,-80.7724413
NoMa Hair & Skin Studio,700 N Broome St,Waxhaw,NC,28173,(704) 243-7267,https://www.nomahair.com/,,73,ChIJTQoV1r8rVIgRZceLMgsIxQc,34.9301476,-80.74480419999999
Autohaus of Union,109 Somer St,Waxhaw,NC,28173,(704) 843-4883,http://www.autohausofunion.com/,,203,ChIJj7bKe5QrVIgRBwTdAG0Pfhc,34.92375,-80.73847599999999
Salon Salon,6285 Carolina Commons Dr Ste 600,Indian,SC,29707,(803) 548-5115,,,105,ChIJ7QGWd5aBVogRmflCdkPlKUU,34.9368006,-80.8383958
Crossroad Grill,315 N Broome St,Waxhaw,NC,28173,(704) 243-0683,,,8,ChIJuW855b8rVIgRjxwqS9pRGtg,34.9268024,-80.7442124
Novant Health Child & Adolescent Medical Group - Waxhaw,3614 Providence Rd S Suite 101,Waxhaw,NC,28173,(704) 384-8460,https://www.novanthealth.org/locations/clinics/child-adolescent-medical-group-waxhaw/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-060,,57,ChIJLX3V99krVIgRtgX4egdySBc,34.9441034,-80.75428959999999
Jekyll and Hyde Waxhaw,216 W North Main St,Waxhaw,NC,28173,(704) 846-4933,https://hydestaphouse.com/,,991,ChIJLTSv0icrVIgR827TvYSBt9o,34.9250821,-80.7449939
Hairplay Waxhaw,3512 Providence Rd S ste e,Waxhaw,NC,28173,(704) 243-0595,http://hairplaywaxhaw.com/,,31,ChIJDyFcBsArVIgRhah5KWHwXLE,34.945843,-80.755141
Bistro D'Antonio,3909 Providence Rd S,Waxhaw,NC,28173,(704) 243-0633,http://www.bdantonio.com/,,780,ChIJSytBv8QrVIgRFT_dzhKTiZc,34.9380281,-80.75063870000001
Jack Rabbit Salon & Boutique,1206 N Charlotte Ave,Monroe,NC,28110,(704) 289-9881,http://www.jackrabbitsalon.com/,,123,ChIJi4hxRZUwVIgRxKkzTC8oOb0,34.9931981,-80.5574633
Chase Bank,8600 Charlotte Hwy,Indian,SC,29707,(803) 650-4740,http://locator.chase.com/?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MjAxMDE1NzUwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,1,ChIJZS8l8ZyDVogRrxZTV1sKXHE,34.9618827,-80.853082
Bed and Bark,1020 Kemble St,Waxhaw,NC,28173,(704) 862-4942,http://www.bedandbark.com/,,380,ChIJPV7O5xYrVIgRJAGKpmXNy34,34.9509793,-80.7573164
U.S. Bank Branch,9836 Rea Rd,Charlotte,NC,28277,(980) 465-6920,https://www.usbank.com/locations/north-carolina/charlotte/9836-rea-rd-bank-atm/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,,17,ChIJb5UVw-UpVIgRGu0vd2rQ0BM,35.0341299,-80.80754220000001
Resha Shrestha  MD,3614 Providence Rd S #200,Waxhaw,NC,28173,(704) 384-8640,https://www.novanthealth.org/pf/providers/1770147084/resha-shrestha?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=1770147084,,50,ChIJE8zVuUorVIgRU-h9-RISJVg,34.9441097,-80.754299
University Dental Associates Waxhaw,9815 Suzanne Ct,Waxhaw,NC,28173,(980) 478-8491,http://udadentistry.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,,102,ChIJHf16YEMpVIgR8TZsTqYX7DM,35.016164,-80.800798
Provisions Waxhaw,107 W South Main St,Waxhaw,NC,28173,(704) 256-3642,http://www.provisionswaxhaw.com/,,417,ChIJOSJILL4rVIgRHquSeyfZNG8,34.9244598,-80.74409039999999
The Vintage Room,318 NC-75,Waxhaw,NC,28173,(704) 299-3699,https://www.instagram.com/thevintageroom.usa?igsh=MWFzbDAwMHJqYmYwMg==,,17,ChIJDa4HEwArVIgRBMqF8SiHcbo,34.92468950000001,-80.7414654
Dental Designs of Marvin Gardens,1619 Providence Rd S,Waxhaw,NC,28173,(704) 627-8327,http://www.dentaldesignswaxhaw.com/,,147,ChIJfeQ8mR4pVIgRCsPAbwdtyY8,34.9872886,-80.7711777
Top Honors Pet Care Center,5420 Waxhaw-Marvin Rd,Waxhaw,NC,28173,(704) 243-0133,http://www.top-honors.com/index.html,,68,ChIJd-10pLkrVIgRKeVKhC7Hsm4,34.9245338,-80.75228109999999
Funki Monki,111 E North Main St,Waxhaw,NC,28173,(704) 256-3241,https://m.facebook.com/pages/category/Furniture-Store/Funki-Monki-Home-Furnishings-872455842784578/,,37,ChIJQ-Q8TCorVIgRigcVCID8318,34.9253017,-80.74322599999999
Wells Fargo Bank,5926 Weddington Monroe Rd,Wesley,NC,28104,(704) 243-3017,https://www.wellsfargo.com/locator/bank/5926__WEDDINGTON__MONROE__RD_WESLEY__CHAPEL_NC_28104/?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=AC19666,,35,ChIJiRwH8BcvVIgRClrETaktGMg,35.0007799,-80.6985531
The Parlor,401 E South Main St Suite 100,Waxhaw,NC,28173,(704) 574-4829,http://www.theparlorhairsalons.com/,,40,ChIJmRikIHwrVIgRoeFlL75FNXs,34.924865,-80.7404126
Pure Primary Wellness and Aesthetics of Waxhaw,716 Old Providence Rd,Waxhaw,NC,28173,(980) 485-7552,https://pureprimarywellness.com/,,1,ChIJV9rCKnMrVIgRNzPzRhoECPs,34.9211395,-80.73702639999999
Strip by Casey Leigh,3808 Providence Rd S suite 102,Waxhaw,NC,28173,(704) 242-5788,http://stripbycaseyleigh.com/,,30,ChIJ42C3S30rVIgRWLx3F6MVqb0,34.9405442,-80.75261019999999
Bead Merchants,102 E South Main St #1,Waxhaw,NC,28173,(704) 843-5509,,,41,ChIJT1-CgZUrVIgRV6F_-GwqU2E,34.9245497,-80.7433789
Novant Health-GoHealth Urgent Care,1530 Providence Rd S South,Waxhaw,NC,28173,(704) 627-8365,https://www.gohealthuc.com/novant/locations/waxhaw?utm_source=gmb&utm_medium=organic&utm_content=novant-health,,243,ChIJu-xPeDopVIgRicQoIKUKl0A,34.9891773,-80.774248
Hays Dentistry,1002 Aspinal St C,Waxhaw,NC,28173,(704) 706-2226,https://haysdds.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,,26,ChIJL4mqLt8rVIgRk5eOKBsIJYY,34.95029230000001,-80.75676589999999
MONA Boutique,108 E South Main St,Waxhaw,NC,28173,(704) 363-2297,,,32,ChIJ4_8Vj1wrVIgRV6BtULY0dP0,34.9246138,-80.7432122
AutoZone Auto Parts,4001 Providence Rd S,Waxhaw,NC,28173,(704) 843-9929,https://www.autozone.com/locations/nc/waxhaw/4001-providence-rd-s.html?cmpid=LOC:US:EN:AD:NL:1000000:GEN:3913,,259,ChIJd5XfecQrVIgRnO6nLG8Z018,34.9354886,-80.7492475
The Farm Garage,6023 New Town Rd,Waxhaw,NC,28173,(704) 318-8388,http://thefarmgarage.com/,,37,ChIJg3WvkvMvVIgRnhpuQoSDo38,34.9836718,-80.71423709999999
NTB-National Tire & Battery,120 Waxhaw Pkwy,Waxhaw,NC,28173,(704) 266-2038,https://www.mavis.com/locations/waxhaw-120-waxhaw-pkwy-nc/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4327,,940,ChIJ7f9qrsYrVIgRE0VE6xgI4h0,34.9328257,-80.74959489999999
Fifth Third Bank & ATM,8100 Kensington Dr,Waxhaw,NC,28173,(704) 698-1450,https://locations.53.com/nc/waxhaw/8100-kensington-drive.html,,30,ChIJ3c_0hHspVIgRIbylXAtcAlw,34.9563307,-80.7577432
The Regenerative Center,105 Waxhaw Professional Park Dr Suite D,Waxhaw,NC,28173,(833) 704-7246,https://theregenerativecenterspa.com/?utm_source=GBPlisting&utm_medium=organic,,8,ChIJNzeFwEArVIgRtzADvrKyyL4,34.9379975,-80.7494319
L & L Auto Salvage,4301 Western Union School Rd,Waxhaw,NC,28173,(704) 843-3389,,,16,ChIJs0kA5jcsVIgRv0rsoJKjsnA,34.923798,-80.687123
Waxhaw Ace Hardware,3927 Providence Rd S,Waxhaw,NC,28173,(704) 843-4760,http://www.acehardwarewaxhaw.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17626,,284,ChIJrXDKjMQrVIgR9SMssZykpP8,34.9364159,-80.7495591
Waxhaw Dental Center,2514 Cuthbertson Rd # A,Waxhaw,NC,28173,(704) 272-2495,https://waxhawdentalcenter.com/,,400,ChIJIXVeNnspVIgRCC5-meBCkQ0,34.95776499999999,-80.755612
MillBridge Dentistry,3614 Providence Rd S #103,Waxhaw,NC,28173,(704) 665-7887,https://millbridgedentistry.com/?utm_source=gmb&utm_medium=organic,,634,ChIJSc6UhUArVIgRReBBoyESKlU,34.9441161,-80.7543084
The Groomery,3919 Providence Rd S,Waxhaw,NC,28173,(704) 243-0202,http://thegroomerync.com/,,139,ChIJW1odjsQrVIgRv373IFdDY74,34.9369596,-80.7501807
Bank of America (with Drive-thru ATM),5935 Weddington Rd,Wesley,NC,28104,(704) 684-3087,https://locators.bankofamerica.com/nc/wesleychapel/financial-centers-wesley-chapel-16656.html?utm_source=GMBlisting&utm_medium=organic,,35,ChIJw4DHM6IvVIgROU3mUV-9Z70,35.001753,-80.69987739999999
Hacienda El Rey,3901 Providence Rd S Ste A,Waxhaw,NC,28173,(704) 256-9024,https://www.haciendaelrey.com/,,1093,ChIJiX6vz64rVIgR2-RKudJA0Pg,34.939186,-80.7510965
131 MAIN Restaurant,9886 Rea Rd,Charlotte,NC,28277,(704) 544-0131,https://www.131-main.com/blakeney/,,2023,ChIJ2ZixZQIoVIgRha85YG8vXqc,35.034089,-80.808956
Waxhaw General Store,111 W South Main St,Waxhaw,NC,28173,(704) 839-4975,https://facebook.com/waxhawgeneralstore,,29,ChIJkzqX3HkrVIgRIqbJ3Y4tf_w,34.9245256,-80.74427179999999
Chase Bank,13733 Conlan Cir,Charlotte,NC,28277,(704) 317-4488,https://www.chase.com/locator/banking/us/nc/charlotte/13733-conlan-cir?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MzI3MjY0NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,49,ChIJzScFCI2dVogRo7mhuNcFFCA,35.0571,-80.8505
Matthew Verrill  MD,2700 Providence Rd S #300,Waxhaw,NC,28173,(704) 243-2254,https://atriumhealth.org/provider-profile/matthew-verrill-1326242611?utm_campaign=GCRprovider&utm_medium=Organic&utm_source=GMB,,94,ChIJ165SBcArVIgRoHBA0jl0xNg,34.9641571,-80.7641677
Mule Barn Mercantile,121 S Broome St,Waxhaw,NC,28173,(704) 698-8920,https://mulebarnmercantile.com/,,52,ChIJVZa1zXkrVIgR41c4HvYXwF8,34.9241501,-80.74325759999999
Brush'd Salon,9925 Rea Rd Unit 102,Waxhaw,NC,28173,(980) 339-7230,http://www.brushdsalon.com/?y_source=1_MjAxNzY1NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,299,ChIJ__9P6qiCVogRDgeZw9TyxbI,35.0197914,-80.8067434
Henn Automotive Inc.,1152 N Broome St,Waxhaw,NC,28173,(704) 243-2540,http://www.hennauto.com/,,221,ChIJ0bTelMMrVIgRxViDte-0zmc,34.9346586,-80.7485985
Novant Health Waxhaw Family & Sports Medicine,3614 Providence Rd S #200,Waxhaw,NC,28173,(704) 384-8640,https://www.novanthealth.org/locations/clinics/waxhaw-family-sports-medicine/?utm_source=maps.google.com&utm_medium=organic&utm_campaign=GBP&utm_content=MG-431,,229,ChIJO4XMCNorVIgRpOOY1E9nxQI,34.9441161,-80.7543084
Fifth Third Bank & ATM,9034 Ardrey Kell Rd,Charlotte,NC,28277,(980) 985-3680,https://locations.53.com/nc/charlotte/9034-ardrey-kell-rd.html,,9,ChIJg17pjpyDVogR7dCLRAPlfns,35.0340248,-80.8105413
Chase Bank,6450 Weddington Rd,Wesley,NC,28104,(704) 627-6274,https://www.chase.com/locator/banking/us/nc/wesley-chapel/6450-weddington-rd?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MTAzNDQxNTg4MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,15,ChIJKRKWccUvVIgRIOgyRTMEHd8,35.00065,-80.69452
Camp Bark,7619 Waxhaw Hwy,Waxhaw,NC,28173,(704) 684-9035,http://www.campbark.net/,,65,ChIJqwSVu3QsVIgRU9KQVXfyb0U,34.9226714,-80.71628749999999
Waxhaw Tap House,110 McDonald St,Waxhaw,NC,28173,(704) 256-3955,http://waxhawtaphouse.com/,,388,ChIJLbWe3AArVIgR2QggExCd6QE,34.925968,-80.74434579999999
Chase Bank,9815 Rea Rd A,Charlotte,NC,28277,(704) 443-5340,https://www.chase.com/locator/banking/us/nc/charlotte/9815-rea-rd?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MTgzMTE2OTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,45,ChIJT5rpf2IpVIgRhL9aLfCwK0I,35.0356,-80.8044
Burtons Grill & Bar,9816 Rea Rd,Charlotte,NC,28277,(980) 701-0910,https://burtonsgrill.com/locations/nc/charlotte-blakeney/,,811,ChIJUb5muispVIgRYIhsVrS6hDA,35.0354912,-80.80610879999999
9ROUND,3901 Providence Rd S F,Waxhaw,NC,28173,(980) 315-5365,,,41,ChIJxT9yM9srVIgRvPmrnq5TJfI,34.9390831,-80.750958
Apotheca Cannabis Dispensary,1201 N Broome St Ste G,Waxhaw,NC,28173,(980) 759-3534,http://www.apotheca.org/?y_source=1_MTAwNTA2ODU5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,334,ChIJ2Xd0HsQrVIgRcXrbpps9jNM,34.9337118,-80.75046429999999
State Employees’ Credit Union,3934 South Providence,Waxhaw,NC,28173,(704) 243-2531,https://locations.ncsecu.org/waxhaw/3934-south-providence,,14,ChIJY4nx98QrVIgRZ_L6WaN0Z3M,34.9357722,-80.7511318
HairplaybyAnnette,3512 Providence Rd S,Waxhaw,NC,28173,(845) 542-3750,,,7,ChIJax-MJTYrVIgRyDYL_FxN4hI,34.945946,-80.755066
Atrium Health Waxhaw,2700 Providence Rd S,Waxhaw,NC,28173,(704) 667-6800,https://atriumhealth.org/locations/detail/atrium-health-waxhaw?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,,273,ChIJnVdWUnYpVIgRTVSNoLclUFQ,34.9639381,-80.7639623
Humane Society of Union County,4015 Waxhaw Hwy,Monroe,NC,28112,(704) 283-9126,https://hsuc.org/,,129,ChIJNeFYcB4xVIgRpa1GY-iJx6c,34.958863,-80.6250247
Pep Boys Auto Service & Tires,3707 Providence Rd S South,Waxhaw,NC,28173,(704) 659-4453,https://www.pepboys.com/stores/nc/waxhaw/3707-providence-road-s?Cid=gbp_appt_AN:PB%7CPB:G%7CTT:GBP%7CCG:CONVERSION%7CCD:SERVICE,,300,ChIJQy0dCTYrVIgR67DoaG7QfFw,34.942637,-80.752505
AFC Urgent Care Waxhaw,8133 Kensington Dr Unit C,Waxhaw,NC,28173,(980) 489-1080,https://www.afcurgentcare.com/waxhaw/,,189,ChIJrXSxX9YpVIgRb1W73JzMYGw,34.954871,-80.75985179999999
The Shoppes at Millview,116 E South Main St,Waxhaw,NC,28173,,,,15,ChIJedehInorVIgRj1nHwkpK6Ns,34.9245625,-80.7412971
Woodside View Dental Care,3214 Providence Rd S B,Waxhaw,NC,28173,(980) 489-1130,https://woodsideviewdentalcare.com/,,6,ChIJ_xq8xS8pVIgRHvSSJUrDVCQ,34.9531779,-80.756771
Waxhaw Creamery,109 E North Main St,Waxhaw,NC,28173,(704) 843-7927,https://m.facebook.com/WaxhawCreamery/,,818,ChIJMR7rNr4rVIgRTAAMVdhQj-E,34.925275,-80.743361
Novant Medical Group,1480 Wesley Chapel Rd,Indian,NC,28079,(704) 316-3616,https://www.novanthealth.org/for-providers/novant-health-medical-group/,,1,ChIJZQaCm0YlVIgRjT39vxUzNrc,35.0438088,-80.65067169999999
